,industry,rank,search_city,search_job,avg_sal,years_exp,degrees_total,sen_job_titles_total,languages_total,visualization_total,big_data_total,cloud_total,platform_total,ds_concepts_total,deep_learning_totals,log_avg_sal
392,14,3.2,4,0,65000.0,10,0,1,0,0,0,0,1,0,0,11.082157933374816
393,12,4.3,4,0,62500.0,10,2,0,1,0,0,0,1,0,0,11.042937835596494
395,9,3.6,4,0,70000.0,6,1,0,1,0,0,0,2,0,0,11.156264806643742
396,9,3.6,4,0,63500.0,3,1,0,0,0,0,0,0,1,0,11.05881093278828
397,9,4.5,4,0,40000.0,4,1,0,0,0,0,1,1,0,0,10.596659732783579
398,12,4.8,4,0,66500.0,5,0,0,0,0,0,0,0,0,0,11.104972264124868
399,9,4.0,5,0,90500.0,3,0,0,1,0,0,0,0,0,0,11.413116179350727
401,21,3.2,5,0,46500.0,8,1,0,1,0,0,0,2,0,0,10.747229096720554
402,14,3.6,5,0,87500.0,2,2,0,2,1,0,0,2,1,0,11.37940550085183
403,11,3.2,5,0,40500.0,3,2,0,0,0,0,0,1,0,0,10.609081944147828
404,5,4.0,5,0,85000.0,3,2,1,0,0,0,0,1,0,0,11.350418300109132
405,11,3.2,5,0,102000.0,5,2,0,2,0,0,0,0,0,0,11.532737896139919
406,13,4.1,5,0,93000.0,5,1,1,2,0,0,1,0,0,0,11.440365524765756
407,9,3.8,5,0,61000.0,3,1,0,1,0,0,0,1,1,0,11.0186455364637
408,8,3.3,5,0,59500.0,3,1,0,1,0,0,0,0,1,0,10.993748398115178
411,5,3.5,5,0,53000.0,8,1,1,3,1,0,1,1,0,0,10.87806606028079
412,4,3.4,5,0,100000.0,6,3,1,2,0,0,0,0,1,0,11.51293546492023
413,8,4.1,5,0,50000.0,3,1,0,0,0,0,1,1,0,0,10.819798284210286
414,14,2.3,5,0,57000.0,5,1,0,1,0,0,0,0,0,0,10.950824090522445
415,4,3.6,5,0,56000.0,4,0,0,0,0,0,0,1,0,0,10.933124826700707
417,12,3.7,5,0,80000.0,7,1,1,0,0,0,0,1,1,0,11.289794413577894
418,18,4.1,5,0,59000.0,1,0,0,2,0,0,0,1,0,0,10.985309671896763
419,11,3.7,5,0,55500.0,3,1,0,0,0,0,1,1,0,0,10.92415631759022
420,12,3.7,5,0,81500.0,5,1,0,3,1,0,0,0,1,0,11.308370569092329
423,14,4.6,5,0,151000.0,5,1,1,0,0,0,0,1,1,0,11.92504173829169
424,12,3.8,5,0,115000.0,2,1,1,0,0,0,0,0,0,0,11.652696102959753
425,12,3.8,5,0,115000.0,2,1,1,0,0,0,0,0,1,0,11.652696102959753
427,5,4.0,5,0,83000.0,2,2,0,1,0,0,0,1,1,0,11.326607934898927
428,10,4.2,5,0,80000.0,1,3,0,1,2,0,0,0,0,0,11.289794413577894
429,5,4.6,5,0,92500.0,1,1,0,1,2,0,0,1,0,0,11.434974734252892
430,5,3.8,5,0,81500.0,1,1,0,0,0,0,0,0,0,0,11.308370569092329
431,17,3.1,5,0,42500.0,5,1,0,1,0,0,0,0,1,0,10.657282884047461
432,14,3.9,5,0,61000.0,7,1,0,0,0,0,0,0,0,0,11.0186455364637
433,11,3.7,5,0,55500.0,3,1,0,0,0,0,0,1,0,0,10.92415631759022
434,9,3.0,5,0,68000.0,3,0,0,0,0,0,1,0,0,0,11.127277689932466
435,12,4.0,7,0,62000.0,5,1,0,1,0,0,0,0,0,0,11.034905792929415
436,13,3.4,7,0,63500.0,2,0,0,1,0,0,0,1,0,0,11.05881093278828
438,11,4.0,7,0,137500.0,2,1,0,0,0,0,0,0,0,0,11.83138646878959
439,5,4.2,7,0,64000.0,3,2,0,1,0,0,0,1,0,0,11.06665398721974
440,12,4.4,7,0,48000.0,1,1,0,0,0,0,0,1,0,0,10.778977123006351
441,12,3.7,7,0,85000.0,5,1,0,3,1,0,0,0,1,0,11.350418300109132
442,5,3.4,7,0,62000.0,4,1,0,1,2,0,0,1,0,0,11.034905792929415
443,11,3.8,7,0,89500.0,2,2,0,0,1,0,0,0,0,0,11.402005077384885
444,14,3.5,7,0,84500.0,3,1,1,0,0,0,0,0,1,0,11.344518647594766
445,19,4.1,7,0,79000.0,2,1,0,1,2,0,0,3,0,0,11.277215789596893
446,14,3.4,7,0,91000.0,7,0,1,1,2,0,0,0,1,0,11.418625774449598
447,12,4.2,7,0,126000.0,6,2,1,3,2,2,0,0,6,0,11.744045122410057
448,12,4.7,7,0,122500.0,5,0,0,0,2,0,0,1,2,2,11.715874472198905
449,5,3.4,7,0,72000.0,5,2,0,0,0,0,0,1,0,0,11.184435286790631
450,12,4.5,7,0,90000.0,5,1,0,1,0,0,0,1,2,0,11.407576060361786
451,5,4.4,7,0,115500.0,3,1,0,0,0,0,0,0,0,0,11.657034466915164
453,12,3.8,7,0,88500.0,5,2,0,5,3,0,4,0,3,0,11.390769130367211
454,12,4.1,7,0,99500.0,10,0,1,1,0,1,0,1,2,0,11.507922973347437
455,9,4.2,7,0,90000.0,4,1,0,0,0,0,1,1,0,0,11.407576060361786
456,12,3.6,7,0,96000.0,4,1,0,0,0,0,1,1,0,0,11.472113887062386
457,9,3.8,7,0,48500.0,3,1,0,1,0,0,0,1,0,0,10.789339695269716
458,12,3.7,7,0,58500.0,1,2,0,3,1,0,0,0,1,0,10.97679912709094
